AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,Breed,Color,Age_days,Year,Month,Day,Hour,Minute,Mix,First_Breed,Second_Breed,has_name
A671945,2911,2014-02-12 18:22:00,4,0,1,1482,146,365.0,2014,2,12,18,22,True,181,0,False
A656520,2266,2013-10-13 12:44:00,3,16,0,775,184,365.0,2013,10,13,12,44,True,80,0,False
A686464,5501,2015-01-31 12:28:00,1,7,1,1293,97,730.0,2015,1,31,12,28,True,159,0,False
A683430,0,2014-07-11 19:09:00,5,13,0,775,47,21.0,2014,7,11,19,9,True,80,0,True
A667013,0,2013-11-15 12:52:00,5,13,1,1101,311,730.0,2013,11,15,12,52,False,127,87,True
A677334,2250,2014-04-25 13:04:00,5,13,1,455,40,30.0,2014,4,25,13,4,False,52,42,False
A699218,3415,2015-03-28 13:11:00,5,13,0,775,70,21.0,2015,3,28,13,11,True,80,0,False
A701489,0,2015-04-30 17:02:00,5,13,0,775,117,21.0,2015,4,30,17,2,True,80,0,True
A671784,4256,2014-02-04 17:17:00,1,0,1,54,283,150.0,2014,2,4,17,17,True,10,0,False
A677747,0,2014-05-03 07:48:00,1,12,1,449,359,365.0,2014,5,3,7,48,False,52,0,True
A668402,0,2013-12-05 15:50:00,5,15,0,775,6,730.0,2013,12,5,15,50,True,80,0,True
A666320,0,2013-11-04 14:48:00,1,0,1,1188,299,730.0,2013,11,4,14,48,True,137,0,True
A684601,6145,2016-02-03 11:27:00,1,7,1,1293,99,1460.0,2016,2,3,11,27,True,159,0,False
A704702,6453,2015-06-08 16:30:00,4,0,1,1661,37,730.0,2015,6,8,16,30,True,219,0,False
A688584,5791,2015-11-25 15:00:00,4,0,1,922,379,365.0,2015,11,25,15,0,True,104,0,False
A678825,5310,2014-07-12 12:10:00,1,7,0,775,251,90.0,2014,7,12,12,10,True,80,0,False
A678050,0,2014-05-03 16:15:00,5,13,0,775,117,21.0,2014,5,3,16,15,True,80,0,True
A680028,0,2014-06-07 12:54:00,5,13,1,1293,146,14.0,2014,6,7,12,54,True,159,0,True
A679010,1464,2014-05-17 11:32:00,5,13,0,88,359,730.0,2014,5,17,11,32,True,14,0,False
A684787,3858,2014-07-30 17:34:00,4,0,1,824,6,365.0,2014,7,30,17,34,True,95,0,False
A670658,191,2014-01-19 15:03:00,5,13,1,1401,43,60.0,2014,1,19,15,3,True,168,0,False
A708812,5012,2015-09-18 15:19:00,5,13,0,775,359,365.0,2015,9,18,15,19,True,80,0,False
A705262,3285,2015-08-15 14:22:00,1,0,1,1342,110,730.0,2015,8,15,14,22,False,161,28,False
A665781,5890,2013-10-28 16:32:00,1,0,1,841,146,300.0,2013,10,28,16,32,True,98,0,False
A676333,7434,2014-04-09 17:44:00,4,0,1,841,29,60.0,2014,4,9,17,44,True,98,0,False
A712750,5306,2015-10-03 15:44:00,5,13,0,775,246,30.0,2015,10,3,15,44,True,80,0,False
A718832,5145,2016-01-15 17:31:00,1,0,1,65,182,180.0,2016,1,15,17,31,True,12,0,False
A698777,1436,2015-03-25 18:50:00,1,0,1,553,396,1825.0,2015,3,25,18,50,True,61,0,False
A715348,1756,2015-11-21 13:01:00,1,0,0,775,185,60.0,2015,11,21,13,1,True,80,0,False
A708666,3315,2015-07-30 14:30:00,4,0,0,1463,46,2555.0,2015,7,30,14,30,True,174,0,False
A718535,0,2016-01-01 13:57:00,3,16,0,775,156,1095.0,2016,1,1,13,57,True,80,0,True
A707341,5023,2015-07-15 15:25:00,5,13,1,1023,43,120.0,2015,7,15,15,25,True,124,0,False
A682532,0,2014-07-03 17:01:00,1,0,0,775,330,60.0,2014,7,3,17,1,True,80,0,True
A666825,3385,2013-11-08 13:24:00,4,0,1,662,128,1825.0,2013,11,8,13,24,False,67,67,False
A699723,1903,2015-04-11 16:01:00,5,13,1,553,99,1095.0,2015,4,11,16,1,True,61,0,False
A668626,0,2013-12-06 14:55:00,3,16,1,1023,401,1095.0,2013,12,6,14,55,True,124,0,True
A657085,5732,2013-10-24 11:22:00,4,0,1,1293,146,1095.0,2013,10,24,11,22,True,159,0,False
A682413,0,2014-07-02 13:37:00,5,13,0,775,97,60.0,2014,7,2,13,37,True,80,0,True
A702655,4661,2015-08-11 00:00:00,5,13,0,775,43,120.0,2015,8,11,0,0,True,80,0,False
A707503,0,2015-07-14 12:16:00,5,13,0,775,117,21.0,2015,7,14,12,16,True,80,0,True
A697199,5648,2015-04-04 17:26:00,1,0,0,775,70,2555.0,2015,4,4,17,26,True,80,0,False
A705598,0,2015-06-23 13:25:00,5,13,0,775,246,60.0,2015,6,23,13,25,True,80,0,True
A668388,4256,2013-12-09 15:04:00,5,13,0,775,117,60.0,2013,12,9,15,4,True,80,0,False
A671181,0,2014-01-21 15:15:00,5,15,0,767,43,1460.0,2014,1,21,15,15,True,78,0,True
A676766,112,2014-05-28 15:52:00,1,0,0,775,43,730.0,2014,5,28,15,52,True,80,0,False
A686716,1361,2014-08-27 07:50:00,4,0,1,207,346,4380.0,2014,8,27,7,50,False,22,0,False
A684475,1787,2014-08-05 11:15:00,4,0,0,775,361,3285.0,2014,8,5,11,15,True,80,0,False
A701804,0,2015-05-05 11:46:00,5,13,0,775,6,21.0,2015,5,5,11,46,True,80,0,True
A697852,2190,2015-03-09 17:57:00,1,0,1,841,29,150.0,2015,3,9,17,57,True,98,0,False
A666092,0,2013-10-30 15:37:00,3,1,1,1323,182,2190.0,2013,10,30,15,37,False,159,80,True
A684050,0,2014-07-28 09:00:00,5,15,0,775,335,365.0,2014,7,28,9,0,True,80,0,True
A710107,1210,2015-10-19 18:58:00,1,0,0,775,117,90.0,2015,10,19,18,58,True,80,0,False
A682347,0,2014-06-26 17:16:00,5,13,0,775,76,21.0,2014,6,26,17,16,True,80,0,True
A701627,2611,2015-05-14 12:07:00,1,0,1,288,230,730.0,2015,5,14,12,7,True,35,0,False
A690902,592,2014-11-18 16:05:00,1,0,0,775,251,60.0,2014,11,18,16,5,True,80,0,False
A712979,0,2015-10-04 15:02:00,5,13,0,775,6,7.0,2015,10,4,15,2,True,80,0,True
A707687,479,2015-08-16 13:52:00,1,0,0,775,156,60.0,2015,8,16,13,52,True,80,0,False
A683443,0,2014-07-18 16:23:00,5,13,1,553,311,365.0,2014,7,18,16,23,True,61,0,True
A597644,4165,2014-09-16 14:05:00,4,0,1,265,313,1460.0,2014,9,16,14,5,True,33,0,False
A682784,6976,2014-07-07 12:38:00,1,0,1,706,146,730.0,2014,7,7,12,38,False,70,16,False
A709863,5342,2015-08-19 13:32:00,5,13,0,775,251,365.0,2015,8,19,13,32,True,80,0,False
A678506,5785,2014-05-09 18:07:00,3,16,1,1661,128,4015.0,2014,5,9,18,7,True,219,0,False
A713029,7749,2015-10-06 15:07:00,5,13,0,775,6,30.0,2015,10,6,15,7,True,80,0,False
A712236,541,2015-09-23 11:45:00,1,0,1,686,327,730.0,2015,9,23,11,45,True,70,0,False
A683961,0,2014-07-17 17:31:00,5,13,0,775,6,14.0,2014,7,17,17,31,True,80,0,True
A714740,1426,2015-10-27 18:32:00,4,0,1,1112,359,2190.0,2015,10,27,18,32,True,130,0,False
A691847,3038,2014-12-08 15:53:00,5,13,1,1353,43,180.0,2014,12,8,15,53,True,163,0,False
A711392,4839,2015-09-08 15:31:00,5,13,1,802,147,60.0,2015,9,8,15,31,False,85,0,False
A705258,0,2015-06-16 09:00:00,5,15,0,775,125,60.0,2015,6,16,9,0,True,80,0,True
A678172,541,2014-05-10 18:18:00,1,0,1,553,257,365.0,2014,5,10,18,18,True,61,0,False
A676736,1401,2014-04-30 17:55:00,1,0,1,1616,99,60.0,2014,4,30,17,55,True,211,0,False
A701575,2966,2016-01-29 14:53:00,5,13,1,1293,110,730.0,2016,1,29,14,53,True,159,0,False
A674913,0,2014-03-25 18:15:00,1,0,1,866,359,1095.0,2014,3,25,18,15,False,98,71,True
A706446,7385,2015-08-18 11:32:00,4,0,0,775,6,365.0,2015,8,18,11,32,True,80,0,False
A669540,6741,2013-12-28 16:17:00,4,0,1,1661,94,1460.0,2013,12,28,16,17,True,219,0,False
A709371,17,2015-08-19 14:28:00,5,13,1,479,311,730.0,2015,8,19,14,28,False,55,42,False
A681410,5263,2014-06-22 17:22:00,1,0,0,766,117,90.0,2014,6,22,17,22,False,78,0,False
A675021,0,2014-03-21 17:09:00,3,16,0,775,156,365.0,2014,3,21,17,9,True,80,0,True
A704179,7917,2015-06-07 16:07:00,1,0,1,630,6,60.0,2015,6,7,16,7,False,64,99,False
A717839,0,2015-12-20 19:38:00,5,15,0,775,43,730.0,2015,12,20,19,38,True,80,0,True
A700740,1306,2015-12-17 12:10:00,1,7,1,552,359,365.0,2015,12,17,12,10,False,61,0,False
A712376,0,2015-09-22 12:10:00,3,16,0,775,70,14.0,2015,9,22,12,10,True,80,0,True
A703952,7090,2015-05-30 18:56:00,5,13,0,1515,296,28.0,2015,5,30,18,56,True,184,0,False
A713690,0,2015-10-12 09:00:00,5,15,0,775,70,730.0,2015,10,12,9,0,True,80,0,True
A691838,343,2015-02-09 17:17:00,3,16,1,1293,100,4380.0,2015,2,9,17,17,True,159,0,False
A687789,0,2014-09-14 18:51:00,1,0,1,706,146,365.0,2014,9,14,18,51,False,70,16,True
A704754,284,2015-07-18 15:37:00,1,7,0,775,6,60.0,2015,7,18,15,37,True,80,0,False
A707531,0,2015-07-14 15:04:00,5,13,0,775,6,14.0,2015,7,14,15,4,True,80,0,True
A677594,0,2014-04-26 18:00:00,5,13,1,1023,43,90.0,2014,4,26,18,0,True,124,0,True
A667155,0,2013-11-18 15:56:00,1,0,0,772,156,90.0,2013,11,18,15,56,True,79,0,True
A717147,2556,2015-12-15 14:16:00,1,0,1,1338,110,150.0,2015,12,15,14,16,True,161,0,False
A687012,1436,2016-02-07 14:54:00,1,0,1,398,6,1095.0,2016,2,7,14,54,False,42,70,False
A676200,2672,2014-04-10 11:49:00,5,13,1,1094,361,2555.0,2014,4,10,11,49,False,127,0,False
A676680,3038,2015-02-06 18:56:00,3,1,1,841,40,730.0,2015,2,6,18,56,True,98,0,False
A688443,7226,2014-12-29 15:11:00,1,7,0,775,6,120.0,2014,12,29,15,11,True,80,0,False
A715261,1830,2015-11-15 14:06:00,1,0,1,239,370,3285.0,2015,11,15,14,6,False,22,133,False
A717008,7148,2015-12-06 15:12:00,5,13,1,307,43,210.0,2015,12,6,15,12,True,39,0,False
A683416,0,2014-07-14 19:28:00,1,0,0,775,43,60.0,2014,7,14,19,28,True,80,0,True
A690658,0,2014-10-24 09:00:00,5,15,0,775,43,1095.0,2014,10,24,9,0,True,80,0,True
A695155,0,2015-01-14 16:18:00,1,0,1,345,215,1095.0,2015,1,14,16,18,True,40,0,True
A679721,5756,2014-05-29 17:43:00,1,0,1,553,327,1825.0,2014,5,29,17,43,True,61,0,False
A719113,1951,2016-01-28 12:05:00,5,13,1,378,110,1825.0,2016,1,28,12,5,True,42,0,False
A665298,0,2013-10-16 11:50:00,5,13,0,772,46,14.0,2013,10,16,11,50,True,79,0,True
A708351,0,2015-07-26 14:40:00,5,13,0,775,6,14.0,2015,7,26,14,40,True,80,0,True
A670681,4533,2014-01-30 14:41:00,5,13,0,775,330,1460.0,2014,1,30,14,41,True,80,0,False
A699990,1472,2015-04-08 18:06:00,4,0,1,450,327,1460.0,2015,4,8,18,6,True,52,0,False
A707767,4082,2015-07-19 18:27:00,1,0,0,775,117,60.0,2015,7,19,18,27,True,80,0,False
A668362,4746,2013-12-20 12:02:00,4,0,1,553,40,730.0,2013,12,20,12,2,True,61,0,False
A674577,6384,2014-03-23 18:43:00,1,0,1,760,359,730.0,2014,3,23,18,43,True,76,0,False
A674802,2534,2014-03-29 11:26:00,4,0,1,686,29,3285.0,2014,3,29,11,26,True,70,0,False
A672410,5039,2014-02-11 18:16:00,4,0,1,208,346,1825.0,2014,2,11,18,16,True,22,0,False
A657753,7771,2013-12-06 16:53:00,3,1,1,569,405,365.0,2013,12,6,16,53,False,61,48,False
A663339,17,2013-10-20 16:37:00,1,0,1,1293,204,730.0,2013,10,20,16,37,True,159,0,False
A678229,0,2014-05-06 15:59:00,5,13,0,775,117,21.0,2014,5,6,15,59,True,80,0,True
A698694,823,2015-07-06 15:48:00,5,13,1,1293,370,150.0,2015,7,6,15,48,True,159,0,False
A695971,0,2015-01-26 16:23:00,3,16,0,775,246,2190.0,2015,1,26,16,23,True,80,0,True
A674233,4789,2014-03-22 15:38:00,1,0,1,553,311,365.0,2014,3,22,15,38,True,61,0,False
A713392,480,2015-11-05 00:00:00,5,13,1,553,43,90.0,2015,11,5,0,0,True,61,0,False
A713968,3631,2015-10-24 18:29:00,5,13,0,767,156,30.0,2015,10,24,18,29,True,78,0,False
A701428,3720,2015-05-03 16:59:00,4,0,1,553,99,1095.0,2015,5,3,16,59,True,61,0,False
A676146,1937,2014-04-14 17:00:00,4,0,1,686,6,1825.0,2014,4,14,17,0,True,70,0,False
A679259,5395,2014-05-26 11:22:00,1,0,1,1198,6,2920.0,2014,5,26,11,22,False,137,87,False
A688223,0,2014-09-21 14:15:00,1,12,1,1023,43,60.0,2014,9,21,14,15,True,124,0,True
A691968,0,2014-11-14 11:57:00,3,16,0,775,335,2555.0,2014,11,14,11,57,True,80,0,True
A688871,5436,2014-10-03 18:43:00,1,0,0,775,6,60.0,2014,10,3,18,43,True,80,0,False
A674530,3263,2014-09-11 17:03:00,1,0,1,1292,6,1825.0,2014,9,11,17,3,False,159,0,False
A718604,7674,2016-01-31 17:22:00,1,0,1,1293,370,365.0,2016,1,31,17,22,True,159,0,False
A686520,0,2014-08-24 09:00:00,5,15,0,775,117,90.0,2014,8,24,9,0,True,80,0,True
A699094,4028,2015-03-22 18:40:00,4,0,1,553,146,730.0,2015,3,22,18,40,True,61,0,False
A394547,6733,2015-01-25 11:15:00,4,0,1,1023,182,3285.0,2015,1,25,11,15,True,124,0,False
A662685,4165,2015-10-22 17:18:00,1,0,1,1293,283,1095.0,2015,10,22,17,18,True,159,0,False
A713977,3536,2015-10-26 18:39:00,4,0,0,775,156,1095.0,2015,10,26,18,39,True,80,0,False
A707781,5502,2016-01-15 14:03:00,1,0,1,575,43,365.0,2016,1,15,14,3,False,61,77,False
A694699,5506,2015-01-09 15:28:00,5,13,1,553,40,730.0,2015,1,9,15,28,True,61,0,False
